id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
5011,Kepler-1928 b,1065,4.63 Earths,12.679,2021
5012,Kepler-1929 b,1658,9.65 Earths,11.788,2021
5013,Kepler-192 b,2126,7.95 Earths,14.308,2014
5014,Kepler-192 c,2126,8.2 Earths,14.308,2014
5015,Kepler-192 d,2126,1.04 Earths,14.308,2016
5016,Kepler-1930 b,899,2.95 Earths,13.447,2021
5017,Kepler-1931 b,2023,7.53 Earths,12.671,2021
5018,Kepler-1932 b,2328,2.91 Earths,15.286,2021
5019,Kepler-1933 b,1070,1.76 Earths,12.81,2021
5020,Kepler-1934 b,1398,0.702 Earths,12.874,2021
5021,Kepler-1935 b,2951,6.82 Earths,14.522,2021
5022,Kepler-1936 b,2842,10.2 Earths,13.393,2021
5023,Kepler-1937 b,2952,9.39 Earths,14.163,2021
5024,Kepler-1938 b,1374,4 Earths,15.246,2021
5025,Kepler-191 b,1939,2.36 Earths,14.987,2014
5026,Kepler-191 c,1939,4.12 Earths,14.987,2014
5027,Kepler-191 d,1939,5.82 Earths,14.987,2016
5028,Kepler-1920 b,2890,9.03 Earths,14.392,2021
5029,Kepler-1921 b,3030,8.72 Earths,13.103,2021
5030,Kepler-1922 b,4385,5.86 Earths,15.388,2021
5031,Kepler-1923 b,3232,4.5 Earths,14.454,2021
5032,Kepler-1924 b,6233,7.53 Earths,15.084,2021
5033,Kepler-1925 b,5778,9.28 Earths,15.382,2021
5034,Kepler-1926 b,2177,5.97 Earths,15.8,2021
5035,Kepler-1927 b,3559,11.5 Earths,13.312,2021
5036,Kepler-1928 b,1065,4.63 Earths,12.679,2021
5037,Kepler-1929 b,1658,9.65 Earths,11.788,2021
5038,Kepler-192 b,2126,7.95 Earths,14.308,2014
5039,Kepler-192 c,2126,8.2 Earths,14.308,2014
5040,Kepler-192 d,2126,1.04 Earths,14.308,2016
5041,Kepler-1930 b,899,2.95 Earths,13.447,2021
5042,Kepler-1931 b,2023,7.53 Earths,12.671,2021
5043,Kepler-1932 b,2328,2.91 Earths,15.286,2021
5044,Kepler-1933 b,1070,1.76 Earths,12.81,2021
5045,Kepler-1934 b,1398,0.702 Earths,12.874,2021
5046,Kepler-1935 b,2951,6.82 Earths,14.522,2021
5047,Kepler-1936 b,2842,10.2 Earths,13.393,2021
5048,Kepler-1937 b,2952,9.39 Earths,14.163,2021
5049,Kepler-1938 b,1374,4 Earths,15.246,2021
5050,Kepler-191 b,1939,2.36 Earths,14.987,2014
5051,Kepler-191 c,1939,4.12 Earths,14.987,2014
5052,Kepler-191 d,1939,5.82 Earths,14.987,2016
5053,Kepler-1920 b,2890,9.03 Earths,14.392,2021
5054,Kepler-1921 b,3030,8.72 Earths,13.103,2021
5055,Kepler-1922 b,4385,5.86 Earths,15.388,2021
5056,Kepler-1923 b,3232,4.5 Earths,14.454,2021
